-.022869,.0250539,-.0013895,.8722128,1
.058,.0320293,-.0013895,.8722128,2
-.0910287,.0355442,-.0013895,.8722128,3
.0149889,.0248597,-.0013895,.8722128,4
-.0069908,.0251597,-.0013895,.8722128,5
-.0665498,.0352118,-.0013895,.8722128,7
.007503,.0270195,-.0013895,.8722128,8
-.0083348,.0256831,-.0013895,.8722128,9
.0511454,.0416789,-.0013895,.8722128,10
.0181322,.0128323,-.0013895,.8722128,11
-.0531643,.0294608,-.0013895,.8722128,12
.0491447,.0326154,-.0013895,.8722128,13
-.0005954,.0187968,-.0013895,.8722128,14
.0086687,.024894,-.0013895,.8722128,15
.0245143,.0260571,-.0013895,.8722128,16
-.0449986,.0299636,-.0013895,.8722128,18
.014,.0169298,-.0013895,.8722128,19
-.0232877,.0281184,-.0013895,.8722128,20
.0099936,.0297515,-.0013895,.8722128,21
.0135982,.0234071,-.0013895,.8722128,22
.0177939,.0255503,-.0013895,.8722128,23
-.060241,.0343699,-.0013895,.8722128,24
-.0094072,.0354091,-.0013895,.8722128,25
-.0272389,.026388,-.0013895,.8722128,26
.0755102,.0344473,-.0013895,.8722128,28
-.0264236,.0246714,-.0013895,.8722128,29
.0002759,.0214202,-.0013895,.8722128,30
-.0233306,.0272098,-.0013895,.8722128,31
.0046144,.0148373,-.0013895,.8722128,33
-.0117587,.0231568,-.0013895,.8722128,34
-.010794,.03039,-.0013895,.8722128,35
-.0316261,.0305915,-.0013895,.8722128,36
.0609927,.0316404,-.0013895,.8722128,37
.0138439,.0298982,-.0013895,.8722128,39
.0106157,.0207368,-.0013895,.8722128,40
.022,.029443,-.0013895,.8722128,41
-.0249275,.0236868,-.0013895,.8722128,42
.014,.0307789,-.0013895,.8722128,44
-.0699299,.0359082,-.0013895,.8722128,45
.0211005,.0311356,-.0013895,.8722128,46
-.0570362,.0304907,-.0013895,.8722128,47
.0651259,.0297906,-.0013895,.8722128,49
-.021239,.0261313,-.0013895,.8722128,50
-.0228323,.0163919,-.0013895,.8722128,51
.0504959,.0275311,-.0013895,.8722128,52
.0066506,.0293311,-.0013895,.8722128,53
.067117,.0342368,-.0013895,.8722128,54
0,.0154085,-.0013895,.8722128,55
-.0287808,.0271424,-.0013895,.8722128,56
-.0375671,.0289845,-.0013895,.8722128,57
-.0036231,.035203,-.0013895,.8722128,58
-.028149,.0285083,-.0013895,.8722128,60
.0359984,.0287268,-.0013895,.8722128,62
-.04,.0325887,-.0013895,.8722128,63
-.0621171,.0234824,-.0013895,.8722128,66
.03,.0269782,-.0013895,.8722128,68
.0002003,.0317588,-.0013895,.8722128,69
-.0092807,.0309026,-.0013895,.8722128,70
.0636132,.0324044,-.0013895,.8722128,72
-.0586767,.0306059,-.0013895,.8722128,73
.0687353,.0330011,-.0013895,.8722128,74
.0053496,.0306774,-.0013895,.8722128,75
.0289541,.0158177,-.0013895,.8722128,78
.0285473,.0291588,-.0013895,.8722128,79
.0616987,.0471718,-.0013895,.8722128,80
-.0213423,.0163746,-.0013895,.8722128,81
-.0140281,.0288608,-.0013895,.8722128,82
.0152174,.0265262,-.0013895,.8722128,83
.0239075,.0237079,-.0013895,.8722128,84
.0213099,.0321921,-.0013895,.8722128,86
.0240867,.0327379,-.0013895,.8722128,87
.0500575,.0276588,-.0013895,.8722128,89
-.0229696,.0199506,-.0013895,.8722128,90
.0121825,.0456409,-.0013895,.8722128,91
-.0045766,.0108692,-.0013895,.8722128,92
-.0904184,.0797005,-.0013895,.8722128,94
-.0065616,.0336936,-.0013895,.8722128,95
.0384967,.0447732,-.0013895,.8722128,96
-.0070439,.0139376,-.0013895,.8722128,97
-.0383648,.0246672,-.0013895,.8722128,98
-.0277478,.0251127,-.0013895,.8722128,100
-.020872,.0364654,-.0013895,.8722128,103
.0416015,.0294976,-.0013895,.8722128,104
-.0539101,.0240442,-.0013895,.8722128,105
.0018588,.0143989,-.0013895,.8722128,106
.0524046,.0405018,-.0013895,.8722128,107
-.0182962,.0167799,-.0013895,.8722128,109
.0041331,.0167423,-.0013895,.8722128,112
-.0369062,.0431383,-.0013895,.8722128,113
-.0349564,.0303054,-.0013895,.8722128,114
-.0435859,.0270326,-.0013895,.8722128,117
.1378382,.0441743,-.0013895,.8722128,118
-.1981236,.0435732,-.0013895,.8722128,119
-.0250276,.0384002,-.0013895,.8722128,120
.0807638,.0304689,-.0013895,.8722128,121
-.0404422,.0478168,-.0013895,.8722128,122
.0264115,.0241451,-.0013895,.8722128,123
